collection,link
"Couple in Bed, 1977, Philip Guston",https://www.artic.edu/artworks/90583/couple-in-bed
"Autumn Maples with Poem Slips, c. 1675, Tosa Mitsuoki",https://www.artic.edu/artworks/127644/autumn-maples-with-poem-slips
"Sunset, 1930, Paul Klee",https://www.artic.edu/artworks/61608/sunset
"Portrait Bust of a Woman, Mid–2nd century AD, Ancient Roman",https://www.artic.edu/artworks/159136/portrait-bust-of-a-woman
"Self-Portrait, 1937, Max Beckmann",https://www.artic.edu/artworks/84241/self-portrait
"Retable and Frontal of the Life of Christ and the Virgin Made for Pedro López de Ayala, 1396",https://www.artic.edu/artworks/88793/retable-and-frontal-of-the-life-of-christ-and-the-virgin-made-for-pedro-lopez-de-ayala
"Icebound, c. 1889, John Henry Twachtman",https://www.artic.edu/artworks/72801/icebound
"Henri Degas and His Niece Lucie Degas (The Artist’s Uncle and Cousin), 1875/76, Hilaire Germain Edgar Degas",https://www.artic.edu/artworks/14574/henri-degas-and-his-niece-lucie-degas-the-artist-s-uncle-and-cousin
"Still Life - Strawberries, Nuts, &c., 1822, Raphaelle Peale",https://www.artic.edu/artworks/120154/still-life-strawberries-nuts-c
"Cabin in the Cotton, c. 1931–1937, Horace Pippin",https://www.artic.edu/artworks/111617/cabin-in-the-cotton
"Armida Encounters the Sleeping Rinaldo, 1742/45, Giambattista Tiepolo",https://www.artic.edu/artworks/16488/armida-encounters-the-sleeping-rinaldo
"The Beheading of Saint John the Baptist, 1455/60, Giovanni di Paolo",https://www.artic.edu/artworks/16169/the-beheading-of-saint-john-the-baptist
"Seated Bodhisattva, 8th century",https://www.artic.edu/artworks/111380/seated-bodhisattva
"Jacques and Berthe Lipchitz, 1916, Amedeo Modigliani",https://www.artic.edu/artworks/27987/jacques-and-berthe-lipchitz
"Triptych Icon, Late 17th century",https://www.artic.edu/artworks/185651/triptych-icon
"Spoon Woman, 1926–27 (cast 1954), Alberto Giacometti",https://www.artic.edu/artworks/37761/spoon-woman
"The Holy Family with Saints Elizabeth and John the Baptist, c. 1615, Peter Paul Rubens",https://www.artic.edu/artworks/27310/the-holy-family-with-saints-elizabeth-and-john-the-baptist
"Untitled, 1989, Robert Gober",https://www.artic.edu/artworks/192689/untitled
"Early Morning, Tarpon Springs, 1892, George Inness",https://www.artic.edu/artworks/64729/early-morning-tarpon-springs
"Hanging Head Dragonfly Shade on Mosaic and Turtleback Base, By 1906, Tiffany Studios",https://www.artic.edu/artworks/185905/hanging-head-dragonfly-shade-on-mosaic-and-turtleback-base
"Salome with the Head of Saint John the Baptist, c. 1639/42, Guido Reni",https://www.artic.edu/artworks/11434/salome-with-the-head-of-saint-john-the-baptist
"Landscape: Window Overlooking the Woods, 1899, Édouard Jean Vuillard",https://www.artic.edu/artworks/109926/landscape-window-overlooking-the-woods
"Londonderry Vase, 1813, Manufacture nationale de Sèvres",https://www.artic.edu/artworks/68769/londonderry-vase
"Carnival in Arcueil, 1911, Lyonel Feininger",https://www.artic.edu/artworks/76240/carnival-in-arcueil
"Adam, Modeled 1881, cast about 1924, Auguste Rodin",https://www.artic.edu/artworks/11320/adam
"Friar Pedro Shoots El Maragato as His Horse Runs Off, c. 1806, Francisco José de Goya y Lucientes",https://www.artic.edu/artworks/16362/friar-pedro-shoots-el-maragato-as-his-horse-runs-off
"The Railway Crossing (Sketch), 1919, Fernand Léger",https://www.artic.edu/artworks/79600/the-railway-crossing-sketch
"For Sunday’s Dinner, 1888, William Michael Harnett",https://www.artic.edu/artworks/111377/for-sunday-s-dinner
"Stoke-by-Nayland, 1836, John Constable",https://www.artic.edu/artworks/4758/stoke-by-nayland
"Golden Wings Brushing the Clouds Incarnated from Earthly Wide Star (Chikatsusei Maunkinshi), 1960, Kazuo Shiraga",https://www.artic.edu/artworks/220272/golden-wings-brushing-the-clouds-incarnated-from-earthly-wide-star-chikatsusei-maunkinshi
"Liz #3 [Early Colored Liz], 1963, Andy Warhol",https://www.artic.edu/artworks/229406/liz-3-early-colored-liz
"Corpus of Christ, from the Altarpiece of the Crucifixion, 1391–99, Jacques de Baerze",https://www.artic.edu/artworks/52560/corpus-of-christ-from-the-altarpiece-of-the-crucifixion
"Bar-room Scene, 1835, William Sidney Mount",https://www.artic.edu/artworks/30709/bar-room-scene
